season,match_no,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2012/13,34th,Barisal Burners,114/9,Dhaka Gladiators,115/2,Shakib Al Hasan,Barisal Burners,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 9 2013,8,0,8 wickets,Jeremy Lloyds,Masudur Rahman
2012/13,31st,Duronto Rajshahi,138/9,Khulna Royal Bengals,140/3,Shahriar Nafees,Duronto Rajshahi,bat first,Khulna,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 8 2013,7,0,7 wickets,Enamul Haque,Jeremy Lloyds
2012/13,33rd,Chittagong Kings,160/6,Rangpur Riders,161/5,Danza Hyatt,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 9 2013,5,0,5 wickets,Enamul Haque,Richard Illingworth
2012/13,35th,Khulna Royal Bengals,176/6,Dhaka Gladiators,180/4,Mohammad Ashraful,Khulna Royal Bengals,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 11 2013,6,0,6 wickets,Gazi Sohel,Jeremy Lloyds
2012/13,36th,Rangpur Riders,179/8,Duronto Rajshahi,160,Kevin O'Brien,Duronto Rajshahi,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 11 2013,0,19,19 runs,Enamul Haque,Jeremy Lloyds
2012/13,38th,Dhaka Gladiators,114,Barisal Burners,117/3,Brad Hodge,Dhaka Gladiators,bat first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 12 2013,7,0,7 wickets,Enamul Haque,Richard Illingworth
2012/13,39th,Chittagong Kings,193/3,Duronto Rajshahi,160/6,Jason Roy,Duronto Rajshahi,field first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 13 2013,0,33,33 runs,Gazi Sohel,Richard Illingworth
2012/13,37th,Sylhet Royals,196/3,Khulna Royal Bengals,135/7,Paul Stirling,Khulna Royal Bengals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 12 2013,0,61,61 runs,Jeremy Lloyds,Tanvir Ahmed
2012/13,41st,Barisal Burners,139/7,Rangpur Riders,113,Hamid Hassan,Barisal Burners,bat first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 14 2013,0,26,26 runs,Enamul Haque,Jeremy Lloyds
2012/13,40th,Barisal Burners,144/9,Sylhet Royals,145/9,Paul Stirling,Sylhet Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 13 2013,0,0,1 wicket,Enamul Haque,Jeremy Lloyds
2012/13,42nd,Dhaka Gladiators,168/6,Chittagong Kings,139/9,Shakib Al Hasan,Chittagong Kings,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 14 2013,0,29,29 runs,Anisur Rahman,Jeremy Lloyds
2012/13,Elimination,Duronto Rajshahi,107/7,Chittagong Kings,108/6,Taskin Ahmed,Duronto Rajshahi,bat first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 16 2013,4,0,4 wickets,Anisur Rahman,Richard Illingworth
2012/13,Race,Dhaka Gladiators,197/9,Sylhet Royals,193/6,Chris Gayle,Sylhet Royals,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 15 2013,0,4,4 runs,Enamul Haque,Jeremy Lloyds
2012/13,Semi-Final,Sylhet Royals,149/7,Chittagong Kings,150/7,Ryan ten Doeschate,Chittagong Kings,field first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 18 2013,3,0,3 wickets,Enamul Haque,Jeremy Lloyds
2016/17,1st,Chittagong Vikings,161/3,Comilla Victorians,132/8,Mohammad Nabi,Comilla Victorians,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur, Nov 8 2016,0,29,29 runs,Nahidul Islam,Najmul Hossain Shanto
2012/13,Final,Dhaka Gladiators,172/9,Chittagong Kings,129,Mosharraf Hossain,Chittagong Kings,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 19 2013,0,43,43 runs,Enamul Haque,Richard Illingworth
2016/17,2nd,Barisal Bulls,148/6,Dhaka Dynamites,149/2,Mehedi Maruf,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Nov 8 2016,8,0,8 wickets,Khalid Mahmood,Nadir Shah
2016/17,4th,Chittagong Vikings,124,Rangpur Riders,125/1,Mohammad Shahzad,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Nov 9 2016,9,0,9 wickets,Khalid Mahmood,Nadir Shah
2016/17,3rd,Khulna Titans,133/8,Rajshahi Kings,130,Mahmudullah,Khulna Titans,bat first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur, Nov 9 2016,0,3,3 runs,Abdul Mazid,Mehidy Hasan Miraz
2016/17,10th,Barisal Bulls,192/4,Rajshahi Kings,188/6,Sabbir Rahman,Rajshahi Kings,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 13 2016,0,4,4 runs,Anisur Rahman,Khalid Mahmood
2016/17,12th,Chittagong Vikings,163/3,Barisal Bulls,167/3,Dawid Malan,Barisal Bulls,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 14 2016,7,0,7 wickets,Khalid Mahmood,Tanvir Ahmed
2016/17,11th,Khulna Titans,144/9,Comilla Victorians,131/9,Shafiul Islam,Comilla Victorians,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 13 2016,0,13,13 runs,Ranmore Martinesz,Sharfuddoula
2016/17,14th,Dhaka Dynamites,148/9,Chittagong Vikings,129/8,Mohammad Shahid,Chittagong Vikings,field first,Dynamites,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 17 2016,0,19,19 runs,Nadir Shah,Ranmore Martinesz
2016/17,15th,Rangpur Riders,175/6,Barisal Bulls,163,Mohammad Mithun,Barisal Bulls,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 17 2016,0,12,12 runs,Khalid Mahmood,Masudur Rahman
2016/17,13th,Dhaka Dynamites,194/5,Comilla Victorians,161/9,Mehedi Maruf,Comilla Victorians,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 14 2016,0,33,33 runs,Nadir Shah,Ranmore Martinesz
2016/17,18th,Khulna Titans,157/5,Dhaka Dynamites,148,Mosharraf Hossain,Khulna Titans,bat first,Titans,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 19 2016,0,9,9 runs,Khalid Mahmood,Masudur Rahman
2016/17,17th,Comilla Victorians,122/5,Rangpur Riders,126/1,Mohammad Shahzad,Rangpur Riders,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 18 2016,9,0,9 wickets,Ranmore Martinesz,Tanvir Ahmed
2016/17,16th,Chittagong Vikings,190/5,Rajshahi Kings,171/9,Mohammad Nabi,Rajshahi Kings,field first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 18 2016,0,19,19 runs,Khalid Mahmood,Nadir Shah
2016/17,24th,Chittagong Vikings,185/5,Barisal Bulls,107,Shoaib Malik,Chittagong Vikings,bat first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 22 2016,0,78,78 runs,Gazi Sohel,Ranmore Martinesz
2016/17,20th,Khulna Titans,151/7,Barisal Bulls,129,Mahmudullah,Barisal Bulls,field first,Titans,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 20 2016,0,22,22 runs,Gazi Sohel,Ranmore Martinesz
2016/17,23rd,Khulna Titans,125/7,Rangpur Riders,129/3,Shahid Afridi,Khulna Titans,bat first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 22 2016,7,0,7 wickets,Khalid Mahmood,Morshed Ali Khan
2016/17,21st,Dhaka Dynamites,182/4,Rajshahi Kings,184/7,Samit Patel,Dhaka Dynamites,bat first,Kings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 21 2016,3,0,3 wickets,Nadir Shah,Ranmore Martinesz
2016/17,22nd,Comilla Victorians,183/3,Chittagong Vikings,186/4,Mohammad Nabi,Comilla Victorians,bat first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 21 2016,6,0,6 wickets,Habibur Rahman,Shohidul Islam
2016/17,19th,Comilla Victorians,152/5,Rajshahi Kings,120,Sohail Tanvir,Rajshahi Kings,field first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,Nov 19 2016,0,32,32 runs,Nadir Shah,Ranmore Martinesz
2016/17,25th,Rajshahi Kings,162/5,Rangpur Riders,150/5,Daren Sammy,Rangpur Riders,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 25 2016,0,12,12 runs,Ranmore Martinesz,Sharfuddoula
2016/17,27th,Dhaka Dynamites,170/4,Comilla Victorians,138/8,Shakib Al Hasan,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 26 2016,0,32,32 runs,Khalid Mahmood,Nadir Shah
2016/17,26th,Barisal Bulls,119/5,Khulna Titans,120/4,Shuvagata Hom,Barisal Bulls,bat first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 25 2016,6,0,6 wickets,Anisur Rahman,Khalid Mahmood
2016/17,30th,Rangpur Riders,124/6,Chittagong Vikings,128/1,Tamim Iqbal,Rangpur Riders,bat first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 27 2016,9,0,9 wickets,Nadir Shah,Ranmore Martinesz
2016/17,31st,Rajshahi Kings,128/7,Rangpur Riders,79,Mehidy Hasan Miraz,Rajshahi Kings,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 28 2016,0,49,49 runs,Gazi Sohel,Rashid Riaz
2016/17,32nd,Barisal Bulls,142/8,Comilla Victorians,145/2,Nabil Samad,Barisal Bulls,bat first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 29 2016,8,0,8 wickets,Khalid Mahmood,Mahfuzur Rahman
2016/17,28th,Rajshahi Kings,154/8,Khulna Titans,145/6,Daren Sammy,Rajshahi Kings,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 26 2016,0,9,9 runs,Mahfuzur Rahman,Rashid Riaz
2016/17,29th,Barisal Bulls,132/6,Dhaka Dynamites,135/6,Shakib Al Hasan,Barisal Bulls,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 27 2016,4,0,4 wickets,Khalid Mahmood,Masudur Rahman
2016/17,36th,Barisal Bulls,161/4,Rajshahi Kings,144/7,Rayad Emrit,Rajshahi Kings,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 1 2016,0,17,17 runs,Mahfuzur Rahman,Ranmore Martinesz
2016/17,34th,Dhaka Dynamites,188/7,Rangpur Riders,146/8,Evin Lewis,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 30 2016,0,42,42 runs,Khalid Mahmood,Nadir Shah
2016/17,35th,Rajshahi Kings,124/7,Comilla Victorians,125/2,Mohammad Saifuddin,Rajshahi Kings,bat first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 30 2016,8,0,8 wickets,Masudur Rahman,Rashid Riaz
2016/17,33rd,Khulna Titans,131/8,Chittagong Vikings,135/5,Tamim Iqbal,Khulna Titans,bat first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 29 2016,5,0,5 wickets,Gazi Sohel,Ranmore Martinesz
2016/17,38th,Chittagong Vikings,134/6,Dhaka Dynamites,135/4,Dwayne Bravo,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 2 2016,6,0,6 wickets,Khalid Mahmud,Masudur Rahman
2016/17,37th,Khulna Titans,141/6,Comilla Victorians,142/5,Marlon Samuels,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 2 2016,5,0,5 wickets,Ranmore Martinesz,Tanvir Ahmed
2016/17,39th,Rangpur Riders,154/5,Barisal Bulls,125,Mohammad Shahzad,Rangpur Riders,bat first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 3 2016,0,29,29 runs,Khalid Mahmud,Mahfuzur Rahman
2016/17,40th,Chittagong Vikings,111/9,Rajshahi Kings,112/4,Afif Hossain,Rajshahi Kings,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 3 2016,6,0,6 wickets,Nadir Shah,Ranmore Martinesz
2016/17,Qualifier,Dhaka Dynamites,140/8,Khulna Titans,86,Andre Russell,Khulna Titans,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 6 2016,0,54,54 runs,Khalid Mahmood,Nadir Shah
2016/17,41st,Comilla Victorians,170/6,Rangpur Riders,162/8,Rashid Khan,Rangpur Riders,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 4 2016,0,8,8 runs,Khalid Mahmood,Nadir Shah
2016/17,42nd,Dhaka Dynamites,158/7,Khulna Titans,159/4,Mahmudullah,Khulna Titans,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 4 2016,6,0,6 wickets,Morshed Ali Khan,Ranmore Martinesz
2016/17,"Eliminator,",Chittagong Vikings,142/8,Rajshahi Kings,143/7,Daren Sammy,Rajshahi Kings,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 6 2016,3,0,3 wickets,Masudur Rahman,Ranmore Martinesz
2018/19,1st,Rangpur Riders,98,Chittagong Vikings,101/7,Robbie Frylinck,Chittagong Vikings,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 5 2019,3,0,3 wickets,Alex Wharf,Sharfuddoula
2018/19,3rd,Sylhet Sixers,127/8,Comilla Victorians,130/6,Shahid Afridi,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 6 2019,4,0,4 wickets,Masudur Rahman,Ranmore Martinesz
2018/19,2nd,Dhaka Dynamites,189/5,Rajshahi Kings,106,Hazratullah Zazai,Rajshahi Kings,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 5 2019,0,83,83 runs,Masudur Rahman,Ranmore Martinesz
2016/17,Qualifier,Khulna Titans,125/9,Rajshahi Kings,129/3,Samit Patel,Khulna Titans,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur, Dec 7 2016,7,0,7 wickets,Masudur Rahman,Ranmore Martinesz
2018/19,4th,Rangpur Riders,169/3,Khulna Titans,161/5,Rilee Rossouw,Khulna Titans,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 6 2019,0,8,8 runs,Alex Wharf,Sharfuddoula
2018/19,5th,Dhaka Dynamites,192/6,Khulna Titans,87,Hazratullah Zazai,Khulna Titans,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 8 2019,0,105,105 runs,Alex Wharf,Nadir Shah
2018/19,6th,Comilla Victorians,63,Rangpur Riders,67/1,Mashrafe Mortaza,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 8 2019,9,0,9 wickets,Mahfuzur Rahman,Ranmore Martinesz
2018/19,7th,Sylhet Sixers,168/5,Chittagong Vikings,163/7,Nicholas Pooran,Sylhet Sixers,bat first,Sixers,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 9 2019,0,5,5 runs,Mahfuzur Rahman,Ranmore Martinesz
2018/19,8th,Khulna Titans,117/9,Rajshahi Kings,118/3,Isuru Udana,Khulna Titans,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur, Jan 9 2019,7,0,7 wickets,Alex Wharf,Nadir Shah
2018/19,10th,Rajshahi Kings,124,Comilla Victorians,130/5,Shahid Afridi,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 11 2019,5,0,5 wickets,Alex Wharf,Morshed Ali Khan
2018/19,9th,Dhaka Dynamites,183/9,Rangpur Riders,181/9,Al Islam,Rangpur Riders,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 11 2019,0,2,2 runs,Masudur Rahman,Ranmore Martinesz
2018/19,12th,Dhaka Dynamites,173/7,Sylhet Sixers,141/9,Rony Talukdar,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 12 2019,0,32,32 runs,Alex Wharf,Mahfuzur Rahman
2018/19,14th,Comilla Victorians,184/5,Chittagong Vikings,186/6,Mushfiqur Rahim,Chittagong Vikings,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 13 2019,4,0,4 wickets,Alex Wharf,Nadir Shah
2018/19,11th,Khulna Titans,151/6,Chittagong Vikings,151/8,Robbie Frylinck,Chittagong Vikings,field first,Match,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 12 2019,0,0,won the,Morshed Ali Khan,Ranmore Martinesz
2018/19,13th,Rajshahi Kings,135/8,Rangpur Riders,130/6,Zakir Hasan,Rangpur Riders,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 13 2019,0,5,5 runs,Ranmore Martinesz,Sharfuddoula
2018/19,17th,Rajshahi Kings,136/6,Dhaka Dynamites,116/9,Arafat Sunny,Rajshahi Kings,bat first,Kings,Sylhet International Cricket Stadium,Stadium,Jan 16 2019,0,20,20 runs,Alex Wharf,Mahfuzur Rahman
2018/19,15th,Khulna Titans,128/9,Rajshahi Kings,103,Taijul Islam,Khulna Titans,bat first,Titans,Sylhet International Cricket Stadium,Stadium,Jan 15 2019,0,25,25 runs,Alex Wharf,Tanvir Ahmed
2018/19,16th,Sylhet Sixers,68,Comilla Victorians,69/2,Mahedi Hasan,Comilla Victorians,field first,Victorians,Sylhet International Cricket Stadium,Stadium,Jan 15 2019,8,0,8 wickets,Masudur Rahman,Ranmore Martinesz
2018/19,18th,Sylhet Sixers,187/5,Rangpur Riders,160/6,Litton Das,Rangpur Riders,field first,Sixers,Sylhet International Cricket Stadium,Stadium,Jan 16 2019,0,27,27 runs,Masudur Rahman,Ranmore Martinesz
2018/19,19th,Sylhet Sixers,158/8,Dhaka Dynamites,163/4,Shakib Al Hasan,Sylhet Sixers,bat first,Dynamites,Sylhet International Cricket Stadium,Stadium,Jan 18 2019,6,0,6 wickets,Masudur Rahman,Ranmore Martinesz
2018/19,20th,Khulna Titans,181/7,Comilla Victorians,186/7,Tamim Iqbal,Comilla Victorians,field first,Victorians,Sylhet International Cricket Stadium,Stadium,Jan 18 2019,3,0,3 wickets,Alex Wharf,Gazi Sohel
2018/19,21st,Sylhet Sixers,194/4,Rangpur Riders,195/6,Rilee Rossouw,Rangpur Riders,field first,Riders,Sylhet International Cricket Stadium,Stadium,Jan 19 2019,4,0,4 wickets,Alex Wharf,Gazi Sohel
2018/19,22nd,Chittagong Vikings,214/4,Khulna Titans,188/8,Mushfiqur Rahim,Khulna Titans,field first,Vikings,Sylhet International Cricket Stadium,Stadium,Jan 19 2019,0,26,26 runs,Ranmore Martinesz,Tanvir Ahmed
2018/19,25th,Khulna Titans,181/6,Rangpur Riders,183/4,Farhad Reza,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 22 2019,6,0,6 wickets,Sharfuddoula,Shozab Raza
2018/19,24th,Dhaka Dynamites,139/9,Chittagong Vikings,145/7,Robbie Frylinck,Dhaka Dynamites,bat first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 21 2019,3,0,3 wickets,Nadir Shah,Ranmore Martinesz
2018/19,23rd,Rajshahi Kings,176/3,Comilla Victorians,138,Laurie Evans,Comilla Victorians,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 21 2019,0,38,38 runs,Sharfuddoula,Shozab Raza
2018/19,26th,Comilla Victorians,153/8,Dhaka Dynamites,146/9,Thisara Perera,Dhaka Dynamites,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 22 2019,0,7,7 runs,Mahfuzur Rahman,Ranmore Martinesz
2018/19,27th,Rajshahi Kings,157/5,Chittagong Vikings,159/4,Mushfiqur Rahim,Chittagong Vikings,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 23 2019,6,0,6 wickets,Nadir Shah,Ranmore Martinesz
2018/19,29th,Sylhet Sixers,180/6,Rajshahi Kings,104,Sohail Tanvir,Rajshahi Kings,field first,Sixers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 25 2019,0,76,76 runs,Morshed Ali Khan,Shozab Raza
2018/19,28th,Khulna Titans,170/9,Sylhet Sixers,149/7,David Wiese,Sylhet Sixers,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 23 2019,0,21,21 runs,Alex Wharf,Morshed Ali Khan
2018/19,32nd,Rajshahi Kings,198/5,Chittagong Vikings,191/8,Mustafizur Rahman,Chittagong Vikings,field first,Kings,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 26 2019,0,7,7 runs,Sharfuddoula,Shozab Raza
2018/19,33rd,Comilla Victorians,237/5,Khulna Titans,157,Evin Lewis,Khulna Titans,field first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 28 2019,0,80,80 runs,Shozab Raza,Tanvir Ahmed
2018/19,34th,Dhaka Dynamites,186/6,Rangpur Riders,189/2,AB de Villiers,Dhaka Dynamites,bat first,Riders,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 28 2019,8,0,8 wickets,Masudur Rahman,Ranmore Martinesz
2018/19,31st,Sylhet Sixers,195/4,Khulna Titans,137,Mohammad Nawaz,Sylhet Sixers,bat first,Sixers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 26 2019,0,58,58 runs,Alex Wharf,Gazi Sohel
2018/19,30th,Rangpur Riders,239/4,Chittagong Vikings,167/8,Alex Hales,Chittagong Vikings,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 25 2019,0,72,72 runs,Alex Wharf,Sharfuddoula
2018/19,36th,Rajshahi Kings,141/8,Rangpur Riders,145/4,Farhad Reza,Rajshahi Kings,bat first,Riders,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 29 2019,6,0,6 wickets,Alex Wharf,Masudur Rahman
2018/19,41st,Comilla Victorians,72,Rangpur Riders,76/1,Ravi Bopara,Comilla Victorians,bat first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 2 2019,9,0,9 wickets,Minhajul Abedin Afridi,Sanjit Saha
2018/19,40th,Sylhet Sixers,165/5,Chittagong Vikings,136,Ebadot Hossain,Chittagong Vikings,field first,Sixers,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 1 2019,0,29,29 runs,Nadir Shah,Shozab Raza
2018/19,42nd,Khulna Titans,123/9,Dhaka Dynamites,124/4,Upul Tharanga,Khulna Titans,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 2 2019,6,0,6 wickets,Nadir Shah,Ranmore Martinesz
2018/19,38th,Sylhet Sixers,189/5,Rajshahi Kings,190/5,Laurie Evans,Sylhet Sixers,bat first,Kings,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 30 2019,5,0,5 wickets,Ranmore Martinesz,Tanvir Ahmed
2018/19,35th,Chittagong Vikings,116/8,Comilla Victorians,117/3,Shahid Afridi,Chittagong Vikings,bat first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 29 2019,7,0,7 wickets,Mahfuzur Rahman,Ranmore Martinesz
2018/19,37th,Chittagong Vikings,174/5,Dhaka Dynamites,163/9,Cameron Delport,Chittagong Vikings,bat first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 30 2019,0,11,11 runs,Mahfuzur Rahman,Shozab Raza
2018/19,39th,Comilla Victorians,127,Dhaka Dynamites,126/9,Mohammad Saifuddin,Dhaka Dynamites,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 1 2019,0,0,1 run,Alex Wharf,Masudur Rahman
2018/19,"Eliminator,",Chittagong Vikings,135/8,Dhaka Dynamites,136/4,Sunil Narine,Chittagong Vikings,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 4 2019,6,0,6 wickets,Mahfuzur Rahman,Ranmore Martinesz
2017/18,4th,Dhaka Dynamites,202/7,Khulna Titans,137,Cameron Delport,Khulna Titans,field first,Dynamites,Sylhet International Cricket Stadium,Stadium, Nov 5 2017,0,65,65 runs,Akteruzzaman,Riazuddin
2017/18,1st,Dhaka Dynamites,136/7,Sylhet Sixers,137/1,Upul Tharanga,Sylhet Sixers,field first,Sixers,Sylhet International Cricket Stadium,Stadium, Nov 4 2017,9,0,9 wickets,Masudur Rahman,Riazuddin
2018/19,1st,Rangpur Riders,165/5,Comilla Victorians,166/2,Evin Lewis,Rangpur Riders,bat first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 4 2019,8,0,8 wickets,Alex Wharf,Sharfuddoula
2018/19,2nd,Rangpur Riders,142,Dhaka Dynamites,147/5,Rubel Hossain,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 6 2019,5,0,5 wickets,Alex Wharf,Masudur Rahman
2017/18,3rd,Comilla Victorians,145/6,Sylhet Sixers,148/6,Upul Tharanga,Sylhet Sixers,field first,Sixers,Sylhet International Cricket Stadium,Stadium, Nov 5 2017,4,0,4 wickets,Mahfuzur Rahman,Masudur Rahman
2019/20,4th,Chattogram Challengers,144/6,Khulna Tigers,146/2,Rilee Rossouw,Khulna Tigers,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 12 2019,8,0,8 wickets,Masudur Rahman,Prageeth Rambukwella
2017/18,2nd,Rajshahi Kings,154/8,Rangpur Riders,155/4,Ravi Bopara,Rangpur Riders,field first,Riders,Sylhet International Cricket Stadium,Stadium, Nov 4 2017,6,0,6 wickets,Mahfuzur Rahman,Tanvir Ahmed
2017/18,5th,Chittagong Vikings,143/7,Comilla Victorians,144/2,Mohammad Saifuddin,Comilla Victorians,field first,Victorians,Sylhet International Cricket Stadium,Stadium, Nov 7 2017,8,0,8 wickets,Masudur Rahman,Sharfuddoula
2019/20,2nd,Cumilla Warriors,173/7,Rangpur Rangers,68,Dasun Shanaka,Cumilla Warriors,bat first,Warriors,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 11 2019,0,105,105 runs,Masudur Rahman,Tanvir Ahmed
2019/20,1st,Sylhet Thunder,162/4,Chattogram Challengers,163/5,Imrul Kayes,Chattogram Challengers,field first,Challengers,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 11 2019,5,0,5 wickets,Prageeth Rambukwella,Sharfuddoula
2019/20,5th,Sylhet Thunder,91,Rajshahi Royals,95/2,Alok Kapali,Rajshahi Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Dec 13 2019,8,0,8 wickets,Mahfuzur Rahman,Sharfuddoula
